,Unnamed: 0,date,opening_price,total_volume_traded,price,change_%
0,0,2020-09-28,15.91,4904993,124.21,0.32%
1,1,2020-09-25,16.0,7651201,123.81,-0.13%
2,2,2020-09-24,15.74,6613494,123.97,-0.66%
3,3,2020-09-23,16.12,10314913,124.79,-0.75%
4,4,2020-09-22,15.85,12398286,125.73,-0.22%
5,5,2020-09-21,16.34,10682067,126.01,-0.85%
6,6,2020-09-18,16.24,25914170,127.09,0.39%
7,7,2020-09-17,16.9,18328110,126.59,0.46%
8,8,2020-09-16,17.7,12336968,126.01,-1.56%
9,9,2020-09-15,17.8,6451565,128.01,-0.66%
10,10,2020-09-14,17.6,7210242,128.86,1.12%
11,11,2020-09-11,17.59,7869086,127.43,0.52%
12,12,2020-09-10,18.36,8199312,126.77,-0.01%
13,13,2020-09-09,18.25,9796109,126.78,-0.98%
14,14,2020-09-08,18.19,8121608,128.03,0.39%
15,15,2020-09-07,17.52,8125111,127.78,
16,16,2020-09-04,17.61,7605809,127.53,-0.66%
17,17,2020-09-03,18.08,7136425,128.38,1.84%
18,18,2020-09-02,17.97,10356444,126.06,1.92%
19,19,2020-09-01,17.2,8901088,123.68,0.94%
20,20,2020-08-31,17.75,19481026,122.53,0.07%
21,21,2020-08-28,19.26,13617393,122.45,0.05%
22,22,2020-08-27,18.73,14449903,122.39,-0.06%
23,23,2020-08-26,18.45,14619204,122.46,0.10%
24,24,2020-08-25,18.9,11099248,122.34,-0.19%
25,25,2020-08-24,18.33,9820623,122.57,-0.18%
26,26,2020-08-21,18.07,12600908,122.79,-0.77%
27,27,2020-08-20,17.67,7684322,123.74,1.04%
28,28,2020-08-19,18.44,5516246,122.47,-0.23%
29,29,2020-08-18,18.1,7661653,122.75,1.90%
30,30,2020-08-17,17.88,6328717,120.46,0.27%
31,31,2020-08-14,17.75,5915319,120.14,0.23%
32,32,2020-08-13,18.14,10660319,119.86,-0.27%
33,33,2020-08-12,18.08,7847387,120.19,0.76%
34,34,2020-08-11,18.54,8635510,119.28,0.79%
35,35,2020-08-10,18.05,6297250,118.34,0.23%
36,36,2020-08-07,18.4,7678680,118.07,-0.69%
37,37,2020-08-06,18.4,7631863,118.89,2.25%
38,38,2020-08-05,18.22,7491753,116.27,0.62%
39,39,2020-08-04,18.41,11562365,115.55,1.17%
40,40,2020-08-03,17.5,8161944,114.21,4.88%
41,41,2020-07-31,17.45,11388564,108.9,0.79%
42,42,2020-07-30,17.05,9715922,108.05,0.16%
43,43,2020-07-29,16.77,7851693,107.88,0.15%
44,44,2020-07-28,16.69,7340868,107.72,0.24%
45,45,2020-07-27,16.2,4772317,107.46,-0.21%
46,46,2020-07-24,16.11,6947721,107.69,-0.08%
47,47,2020-07-23,16.29,4981633,107.78,-0.24%
48,48,2020-07-22,16.65,6565734,108.04,0.43%
49,49,2020-07-21,16.45,7713353,107.58,0.37%
50,50,2020-07-20,16.45,6840927,107.18,-0.04%
51,51,2020-07-17,16.29,11773591,107.22,0.02%
52,52,2020-07-16,16.12,10099835,107.2,-0.34%
53,53,2020-07-15,15.97,9686713,107.57,0.11%
54,54,2020-07-14,15.34,8644263,107.45,0.49%
55,55,2020-07-13,15.0,9046904,106.93,1.27%
56,56,2020-07-10,14.93,5141243,105.59,0.94%
57,57,2020-07-09,15.02,8575344,104.61,-0.40%
58,58,2020-07-08,14.82,8862562,105.03,1.93%
59,59,2020-07-07,14.35,13384893,103.04,1.48%
60,60,2020-07-06,14.0,6138451,101.54,2.63%
61,61,2020-07-03,14.09,6998894,100.24000000000001,
62,62,2020-07-02,13.72,7832368,98.94,0.95%
63,63,2020-07-01,13.83,5760291,98.01,-4.80%
64,64,2020-06-30,13.9,8710298,102.95,-0.11%
65,65,2020-06-29,13.89,6337953,103.06,-0.16%
66,66,2020-06-26,14.09,13848214,103.23,0.15%
67,67,2020-06-25,13.91,6436918,103.08,-0.04%
68,68,2020-06-24,14.14,6811621,103.12,0.26%
69,69,2020-06-23,14.0,7318853,102.85,-0.08%
70,70,2020-06-22,13.63,6088287,102.93,-0.11%
71,71,2020-06-19,14.17,19194431,103.04,-0.01%
72,72,2020-06-18,14.02,16315543,103.05,-0.13%
73,73,2020-06-17,15.04,10152570,103.18,-0.27%
